Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
ZNF581	19	56146825	56156988	ENSG00000171425
TTLL3	3	9849770	9896822	ENSG00000214021
VCAN	5	82767284	82878122	ENSG00000038427
CLIC1	HSCHR6_MHC_COX	31685771	31694945	ENSG00000230685
EHD3	2	31456880	31492313	ENSG00000013016
TMEM115	3	50392180	50397041	ENSG00000126062
MYO18A	17	27400528	27507430	ENSG00000196535
OR1M1	19	9203855	9204889	ENSG00000170929
PFAS	17	8150936	8173809	ENSG00000178921
AGPAT1	HSCHR6_MHC_SSTO	32142859	32152743	ENSG00000228892
ARID5A	2	97202480	97218375	ENSG00000196843
EEF1D	8	144661867	144681711	ENSG00000104529
OR7G2	19	9212945	9213982	ENSG00000170923
RPS4Y2	Y	22918050	22942918	ENSG00000157828
C11orf57	11	111944810	111955874	ENSG00000150776
XAGE2	X	52380351	52387001	ENSG00000185751
CCDC106	19	56152428	56164527	ENSG00000173581
OR7G1	19	9225274	9226439	ENSG00000161807
SPTLC2	14	77972340	78083116	ENSG00000100596
MAP7D2	X	20024831	20135035	ENSG00000184368
OR7G3	19	9236688	9237626	ENSG00000170920
HSPA1L	HSCHR6_MHC_APD	31788760	31794206	ENSG00000226704
SMTN	22	31460091	31500743	ENSG00000183963
PKN3	9	131464802	131483197	ENSG00000160447
AAMP	2	219128850	219134980	ENSG00000127837
SEC63	6	108188960	108279393	ENSG00000025796
PTRHD1	2	25012603	25016251	ENSG00000184924
CDH1	16	68771128	68869451	ENSG00000039068
ZNF732	4	264464	299110	ENSG00000186777
CDKN1C	11	2904443	2907111	ENSG00000129757
MOG	HSCHR6_MHC_DBB	29624714	29640106	ENSG00000234623
ATP6V1G2	HSCHR6_MHC_COX	31499694	31502076	ENSG00000227587
GLRX	5	95087023	95158709	ENSG00000173221
IL1B	2	113587328	113594480	ENSG00000125538
HSPA1A	HSCHR6_MHC_APD	31794605	31797087	ENSG00000235941
NHLRC3	13	39612443	39624246	ENSG00000188811
ZNF317	19	9251056	9274100	ENSG00000130803
AC008964.1	5	39105358	39107350	ENSG00000269215
KIAA0195	17	73437240	73496171	ENSG00000177728
MDGA1	6	37600284	37667082	ENSG00000112139
E2F7	12	77415027	77459360	ENSG00000165891
ZKSCAN4	6	28212401	28227011	ENSG00000187626
MBTD1	17	49254786	49337524	ENSG00000011258
GLRA3	4	175558065	175750465	ENSG00000145451
HSPA1B	HSCHR6_MHC_APD	31806879	31809393	ENSG00000232804
TARSL2	15	102193801	102264807	ENSG00000185418
LCA5L	21	40777770	40817731	ENSG00000157578
CYorf17	Y	23544840	23548246	ENSG00000183146
DHX16	HSCHR6_MHC_DBB	30611130	30631079	ENSG00000233418
CPSF3L	1	1246965	1260071	ENSG00000127054
SNAP25	20	10199478	10288066	ENSG00000132639
PLXNA2	1	208195587	208417665	ENSG00000076356
PTPN12	7	77166592	77269388	ENSG00000127947
XDH	2	31557187	31637581	ENSG00000158125
SYCP2L	6	10748027	10979553	ENSG00000153157
C9	5	39284364	39424970	ENSG00000113600
RBMY1B	Y	23673224	23687672	ENSG00000242875
TIMM8B	11	111955524	111957522	ENSG00000150779
PGA5	11	61008514	61018920	ENSG00000256713
C6orf48	HSCHR6_MHC_APD	31813742	31818898	ENSG00000234728
STAG2	X	123094062	123556514	ENSG00000101972
INTS10	8	19674651	19709594	ENSG00000104613
CCND3	6	41902671	42018095	ENSG00000112576
SLFN12L	17	33791268	33864880	ENSG00000205045
LIG1	19	48618702	48673860	ENSG00000105486
SLC22A18AS	11	2909010	2924970	ENSG00000254827
LHFP	13	39917029	40177665	ENSG00000183722
COL6A5	3	130064359	130203688	ENSG00000172752
CACFD1	HG79_PATCH	136335502	136346383	ENSG00000260502
LRIG1	3	66429221	66551687	ENSG00000144749
AC006486.9	19	42738735	42759284	ENSG00000268643
DDX58	9	32455300	32526322	ENSG00000107201
ATP5C1	10	7830092	7849778	ENSG00000165629
NSMCE4A	10	123716603	123734732	ENSG00000107672
SDHD	11	111957497	111990353	ENSG00000204370
CENPO	2	25016005	25045245	ENSG00000138092
AC006486.1	19	42746927	42749125	ENSG00000204957
OR7D2	19	9296279	9299493	ENSG00000188000
OR7D4	19	9324526	9325542	ENSG00000174667
CC2D1B	1	52811395	52831865	ENSG00000154222
STARD9	15	42867857	43013179	ENSG00000159433
OR7E24	19	9361606	9362820	ENSG00000237521
TUBB	HSCHR6_MHC_QBL	30677512	30682738	ENSG00000183311
MLLT4	6	168227602	168372703	ENSG00000130396
HPS6	10	103825147	103827792	ENSG00000166189
LRRC18	10	50117528	50143242	ENSG00000165383
ERF	19	42751724	42759309	ENSG00000105722
ZNF235	19	44732882	44809199	ENSG00000159917
HN1L	16	1728257	1752281	ENSG00000206053
SNRPA	19	41256542	41271294	ENSG00000077312
ZNF699	19	9404951	9420514	ENSG00000196110
ANXA2	15	60639333	60695082	ENSG00000182718
COG6	13	40229764	40365802	ENSG00000133103
CTD-2626G11.1	HSCHR19_1_CTG3	20959110	20990226	ENSG00000262037
VSTM4	10	50222290	50323554	ENSG00000165633
MTPAP	10	30598730	30663377	ENSG00000107951
STMND1	6	17102489	17131603	ENSG00000230873
LGI1	10	95517566	95557916	ENSG00000108231
NEU1	HSCHR6_MHC_APD	31836794	31842041	ENSG00000228691
LDB1	10	103867317	103880210	ENSG00000198728
MYO19	17	34851477	34899284	ENSG00000141140
KIAA0319	6	24544332	24646383	ENSG00000137261
ZNF85	HSCHR19_1_CTG3	21112510	21139919	ENSG00000262562
ZDHHC12	9	131483148	131486406	ENSG00000160446
PARD3	10	34398488	35104253	ENSG00000148498
AL359195.1	10	82009466	82013395	ENSG00000204038
SH3BGR	21	40817781	40887433	ENSG00000185437
EP400	12	132434508	132565005	ENSG00000183495
ZNF233	19	44754318	44779470	ENSG00000159915
DLX1	2	172949468	172954405	ENSG00000144355
FBXO9	6	52916789	52965671	ENSG00000112146
SRCIN1	17	36686251	36762183	ENSG00000017373
MAT1A	10	82031576	82049440	ENSG00000151224
SLC22A18	11	2920951	2946476	ENSG00000110628
ARVCF	22	19957419	20004331	ENSG00000099889
TCTN1	12	111051832	111087235	ENSG00000204852
ZNF559	19	9434448	9461838	ENSG00000188321
BLVRA	7	43798279	43846939	ENSG00000106605
TMEM168	7	112402437	112430647	ENSG00000146802
CSE1L	20	47662849	47713489	ENSG00000124207
U2AF2	19	56165512	56186081	ENSG00000063244
SLC12A6	15	34525460	34630261	ENSG00000140199
SLFN14	17	33875144	33885117	ENSG00000236320
ZNF430	HSCHR19_1_CTG3	21209842	21223406	ENSG00000263249
GATAD2A	19	19496635	19619740	ENSG00000167491
RNF34	12	121837844	121868389	ENSG00000170633
KSR1	17	25783670	25953461	ENSG00000141068
CCNJL	5	159678659	159772403	ENSG00000135083
IQCH	15	67547138	67794598	ENSG00000103599
ZNF112	19	44830708	44871377	ENSG00000062370
B3GALT5	21	40928369	41045064	ENSG00000183778
NKAPL	6	28227098	28228736	ENSG00000189134
CDAN1	15	43015757	43029324	ENSG00000140326
ZCCHC10	5	132332677	132362296	ENSG00000155329
ZER1	9	131492065	131534693	ENSG00000160445
PEX12	17	33901814	33905882	ENSG00000108733
XAGE1C	X	52511761	52516905	ENSG00000183461
CLIC4	1	25071848	25170815	ENSG00000169504
EIF1AX	X	20142636	20159962	ENSG00000173674
C21orf88	21	40969074	40984748	ENSG00000184809
EZH2	7	148504475	148581413	ENSG00000106462
PGBD1	6	28249314	28270326	ENSG00000137338
RPUSD3	3	9879533	9886286	ENSG00000156990
ABHD5	3	43731605	43775863	ENSG00000011198
KITLG	12	88886570	88974628	ENSG00000049130
ASNSD1	2	190526111	190535557	ENSG00000138381
RBM24	6	17281577	17294106	ENSG00000112183
ARMC12	6	35704809	35716856	ENSG00000157343
DLX2	2	172964167	172967628	ENSG00000115844
IGSF5	21	41117334	41174023	ENSG00000183067
C1QTNF2	5	159774758	159797648	ENSG00000145861
CDC42SE2	5	130581186	130734140	ENSG00000158985
SLC44A4	HSCHR6_MHC_APD	31842327	31858180	ENSG00000235336
ARL16	17	79648204	79650954	ENSG00000214087
SELM	22	31500758	31516055	ENSG00000198832
MAPK8IP3	16	1756184	1820318	ENSG00000138834
PPP4C	16	30087299	30096698	ENSG00000149923
TOPORS	9	32540542	32552551	ENSG00000197579
SNX11	17	46180719	46200436	ENSG00000002919
IGSF11	3	118619404	118864915	ENSG00000144847
HK2	2	75061108	75120486	ENSG00000159399
AL133318.1	13	41111138	41111323	ENSG00000269120
TRIM22	11	5710919	5758319	ENSG00000132274
ANK1	8	41510739	41754280	ENSG00000029534
PPIP5K2	5	102455853	102548500	ENSG00000145725
PCP4	21	41239243	41301322	ENSG00000183036
FOXO1	13	41129804	41240734	ENSG00000150907
TNFRSF21	6	47199268	47277641	ENSG00000146072
CAMK1G	1	209757062	209787283	ENSG00000008118
SP140L	2	231191899	231268447	ENSG00000185404
COPB1	11	14464986	14521573	ENSG00000129083
NDUFB6	9	32552997	32573160	ENSG00000165264
URGCP-MRPS24	7	43906157	43946188	ENSG00000270617
MYO6	6	76458909	76629254	ENSG00000196586
C5orf27	5	95187936	95195837	ENSG00000236882
MRPS24	7	43906157	43909492	ENSG00000062582
ZSCAN31	6	28292470	28324048	ENSG00000235109
ALOX15	17	4534197	4545589	ENSG00000161905
VWCE	11	61025762	61062896	ENSG00000167992
MIA	19	41277553	41283395	ENSG00000261857
MRPS31	13	41303432	41345309	ENSG00000102738
TANGO6	16	68877507	69119083	ENSG00000103047
KCNN2	5	113696642	113832337	ENSG00000080709
RNF5	HSCHR6_MHC_SSTO	32153001	32155440	ENSG00000227277
KCNJ3	2	155554811	155714863	ENSG00000162989
ADAM29	4	175750819	175899331	ENSG00000168594
HTR7	10	92500578	92617671	ENSG00000148680
ZNF141	4	331603	378653	ENSG00000131127
FAM83G	17	18872102	18908117	ENSG00000188522
ALOX5	10	45869661	45941561	ENSG00000012779
CIC	19	42772689	42799949	ENSG00000079432
GVQW1	9	32566787	32568619	ENSG00000241043
TBC1D13	9	131549483	131572711	ENSG00000107021
SLC2A6	HG79_PATCH	136346630	136354672	ENSG00000261768
ELL2	5	95220802	95297775	ENSG00000118985
ADCY3	2	25042038	25142708	ENSG00000138031
MTRNR2L6	7	142374104	142375550	ENSG00000270672
NPFFR1	10	72007085	72043432	ENSG00000148734
MRPS18A	6	43639040	43655528	ENSG00000096080
TAF1L	9	32629452	32635667	ENSG00000122728
TRAK2	2	202241930	202316302	ENSG00000115993
TMEM215	9	32783497	32787397	ENSG00000188133
RPS6KA3	X	20168029	20285523	ENSG00000177189
ORC1	1	52838501	52870131	ENSG00000085840
DYDC1	10	82095861	82116511	ENSG00000170788
SLC25A15	13	41363548	41384247	ENSG00000102743
RAB4B	19	41284121	41302847	ENSG00000167578
CERS2	1	150933059	150947479	ENSG00000143418
ZNF721	4	419604	492945	ENSG00000182903
CIDEC	3	9908398	9921938	ENSG00000187288
DSCAM	21	41382926	42219065	ENSG00000171587
C5orf54	5	159820155	159827104	ENSG00000221886
URGCP	7	43915493	43966010	ENSG00000106608
RP11-89K11.1	15	102277302	102285913	ENSG00000259658
RNLS	10	90033621	90344287	ENSG00000184719
LAMB3	1	209788215	209825811	ENSG00000196878
OR4F6	15	102345902	102346876	ENSG00000184140
INPP5J	22	31518717	31530682	ENSG00000185133
TF	3	133464800	133497850	ENSG00000091513
ALKBH1	14	78138747	78174363	ENSG00000100601
OR4F15	15	102358366	102359350	ENSG00000182854
TMEM213	7	138482695	138522846	ENSG00000214128
NR4A2	2	157180944	157198860	ENSG00000153234
CYP46A1	14	100150641	100193638	ENSG00000036530
OR4F4	15	102462245	102463298	ENSG00000177693
FAM170B	10	50339199	50342053	ENSG00000172538
TTBK2	15	43030932	43213007	ENSG00000128881
TSSK6	19	19623227	19626838	ENSG00000178093
ZNF559-ZNF177	19	9434850	9493293	ENSG00000270011
ZNF639	3	179040779	179053323	ENSG00000121864
SLU7	5	159828648	159848718	ENSG00000164609
GPM6A	4	176554085	176923815	ENSG00000150625
KRT23	HSCHR17_4_CTG4	39078948	39093886	ENSG00000263309
NEUROD4	12	55413729	55423798	ENSG00000123307
RBMY1A1	Y	23673258	23711212	ENSG00000234414
MKKS	20	10381657	10414870	ENSG00000125863
HAS3	16	69139467	69152622	ENSG00000103044
JAGN1	3	9932238	9936033	ENSG00000171135
ELF1	13	41506056	41635576	ENSG00000120690
CTC-512J12.6	19	44833848	44905774	ENSG00000267173
UTP18	17	49337889	49375297	ENSG00000011260
TANGO2	22	20004537	20053449	ENSG00000183597
GRAP	17	18923986	18950950	ENSG00000154016
ANXA4	2	69871557	70053596	ENSG00000196975
ZNF285	19	44886459	44905774	ENSG00000267508
MAPRE3	2	27193480	27250064	ENSG00000084764
SLIRP	14	78174414	78227447	ENSG00000119705
CYP20A1	2	204103663	204163009	ENSG00000119004
ARMC7	17	73106047	73126360	ENSG00000125449
YEATS2	3	183415606	183530413	ENSG00000163872
EGR4	2	73518058	73520833	ENSG00000135625
AGPS	2	178257372	178408564	ENSG00000018510
PRPF38A	1	52870236	52886511	ENSG00000134748
ENDOG	9	131580753	131584956	ENSG00000167136
ATP6AP1	X	153656978	153664862	ENSG00000071553
MUC6	11	1012821	1036706	ENSG00000184956
DAB2	5	39371780	39462402	ENSG00000153071
TOPAZ1	3	44283378	44373590	ENSG00000173769
SLX4IP	20	10415951	10617477	ENSG00000149346
ANKAR	2	190539016	190625919	ENSG00000151687
NDUFA13	19	19626545	19644285	ENSG00000186010
RAB35	12	120532899	120555306	ENSG00000111737
ZNF229	19	44921685	44952766	ENSG00000167383
SATB2	2	200134223	200335989	ENSG00000119042
G0S2	1	209848765	209849733	ENSG00000123689
WBP4	13	41635410	41658137	ENSG00000120688
C9orf114	9	131581930	131592100	ENSG00000198917
TBX6	16	30097114	30103208	ENSG00000149922
AGXT2	5	34998206	35048198	ENSG00000113492
OR9K2	12	55523465	55524586	ENSG00000170605
PIGG	4	492989	533985	ENSG00000174227
PSMA1	11	14515329	14665181	ENSG00000129084
EPN1	19	56186592	56221224	ENSG00000063245
CD2AP	6	47445525	47594999	ENSG00000198087
APTX	9	32972604	33025166	ENSG00000137074
KANSL3	2	97258907	97308524	ENSG00000114982
HSD11B1	1	209859510	209908295	ENSG00000117594
SPAG5	17	26904588	26926297	ENSG00000076382
OR10A7	12	55614809	55615759	ENSG00000179919
JAG1	20	10618332	10654694	ENSG00000101384
SMARCD1	12	50478755	50494495	ENSG00000066117
AC073528.1	12	77949297	77950568	ENSG00000268519
OR6C74	12	55640982	55642086	ENSG00000197706
DPP10	2	115199876	116603328	ENSG00000175497
OR6C6	12	55688072	55689016	ENSG00000188324
NME3	16	1820287	1821731	ENSG00000103024
C10orf128	10	50362773	50396630	ENSG00000204161
ZNF180	19	44979854	45004576	ENSG00000167384
KIF25	6	168396921	168445769	ENSG00000125337
FLOT1	HSCHR6_MHC_QBL	30685021	30700042	ENSG00000206480
CRYGS	3	186256230	186264491	ENSG00000213139
SERF1A	5	70196492	70214357	ENSG00000172058
LIMS3	2	111160511	111230652	ENSG00000257207
ANKRD13D	11	67056018	67069956	ENSG00000172932
CHTF8	16	69151913	69166487	ENSG00000168802
ZNF177	19	9435021	9493293	ENSG00000188629
IL17RE	3	9944296	9958086	ENSG00000163701
CNKSR2	X	21392536	21672813	ENSG00000149970
CACNA2D2	3	50400233	50541675	ENSG00000007402
ZFAND3	6	37787275	38122400	ENSG00000156639
NFKBIL1	HSCHR6_MHC_COX	31502098	31514044	ENSG00000234530
CLPSL2	6	35744371	35747329	ENSG00000196748
ITGA6	2	173292082	173371181	ENSG00000091409
LIMS3L	2	111222628	111230511	ENSG00000256671
PELP1	17	4574679	4607632	ENSG00000141456
EHMT2	HSCHR6_MHC_APD	31858893	31876828	ENSG00000232045
PRSS1	7	142457319	142460923	ENSG00000204983
GAREM	18	29704840	30050447	ENSG00000141441
PLA2G3	22	31530795	31536593	ENSG00000100078
TCAIM	3	44379611	44450943	ENSG00000179152
SLC39A7	HSCHR6_MHC_DBB	33146132	33150126	ENSG00000229802
UBR1	15	43235095	43398311	ENSG00000159459
KIAA1549	7	138516126	138666064	ENSG00000122778
NLRP9	19	56219798	56249768	ENSG00000185792
RBM12B	8	94741584	94753245	ENSG00000183808
ALMS1	2	73612886	73837920	ENSG00000116127
OR56B1	11	5757681	5758768	ENSG00000181023
KRT39	HSCHR17_4_CTG4	39114796	39123271	ENSG00000262164
OR52N4	11	5775923	5776959	ENSG00000181074
NCAM1	HG306_PATCH	112831997	113149158	ENSG00000262279
DYDC2	10	82104501	82127829	ENSG00000133665
OR52N5	11	5798864	5799897	ENSG00000181009
BACE2	21	42539728	42654445	ENSG00000182240
TBCCD1	3	186263862	186288332	ENSG00000113838
EGLN2	19	41304901	41314338	ENSG00000269858
OR52N1	11	5809084	5810046	ENSG00000181001
RNF185	22	31556168	31603005	ENSG00000138942
OR52N2	11	5841544	5842578	ENSG00000180988
C4orf32	4	113066553	113116412	ENSG00000174749
YPEL3	16	30103635	30108236	ENSG00000090238
C20orf187	20	11008408	11010014	ENSG00000125899
RBM12B-AS1	8	94752349	94753001	ENSG00000212998
YJEFN3	19	19627036	19648390	ENSG00000250067
BCCIP	10	127512115	127542264	ENSG00000107949
FRMD1	6	168456425	168482237	ENSG00000153303
MRPS34	16	1821891	1823156	ENSG00000074071
RFPL4A	19	56270380	56274541	ENSG00000223638
IGSF23	19	45116940	45140081	ENSG00000216588
CLPSL1	6	35748794	35761452	ENSG00000204140
HSPA4	5	132387654	132442141	ENSG00000170606
RFPL4AL1	19	56280507	56284545	ENSG00000229292
SLC35G1	10	95653730	95715819	ENSG00000176273
STAU1	20	47729878	47804904	ENSG00000124214
MEP1B	18	29765032	29800367	ENSG00000141434
C7orf60	7	112459202	112579971	ENSG00000164603
AP1AR	4	113152893	113191203	ENSG00000138660
HGS	17	79650356	79670168	ENSG00000185359
CCBL1	9	131595221	131644773	ENSG00000171097
TRAF3IP3	1	209929377	209955668	ENSG00000009790
SMAD5	5	135468534	135524435	ENSG00000113658
TRIM36	5	114460459	114516243	ENSG00000152503
OR52E6	11	5862158	5863182	ENSG00000205409
LIPJ	10	90346510	90366733	ENSG00000204022
OR52E8	11	5877904	5878964	ENSG00000183269
IL18	11	112013974	112034840	ENSG00000150782
HMHB1	5	143191726	143200284	ENSG00000158497
BTBD3	20	11871371	11907257	ENSG00000132640
OR52E4	11	5905501	5906527	ENSG00000180974
SP100	2	231280657	231408805	ENSG00000067066
KBTBD6	13	41701705	41706882	ENSG00000165572
OR56A3	11	5968570	5969591	ENSG00000184478
LRRC34	3	169511216	169530774	ENSG00000171757
ANXA9	1	150954493	150968110	ENSG00000143412
KBTBD7	13	41763969	41768702	ENSG00000120696
RGPD6	2	111271389	111334762	ENSG00000183054
PCSK1	5	95726119	95769847	ENSG00000175426
ZCCHC11	1	52873954	53019159	ENSG00000134744
GPR85	7	112718386	112727833	ENSG00000164604
YIPF5	5	143537723	143550278	ENSG00000145817
KLHL14	18	30252634	30353025	ENSG00000197705
EME2	16	1823208	1831709	ENSG00000197774
AGER	HSCHR6_MHC_SSTO	32155615	32158971	ENSG00000237405
IKZF3	17	37921198	38020441	ENSG00000161405
KDM2B	12	121866900	122018920	ENSG00000089094
PVR	19	45147098	45166850	ENSG00000073008
NLRP11	19	56296770	56348166	ENSG00000179873
CHTF8	16	69152757	69154331	ENSG00000263203
MSH5-SAPCD1	HSCHR6_MHC_COX	31695130	31720011	ENSG00000254405
UNK	17	73780681	73821886	ENSG00000132478
MTRF1	13	41790505	41837742	ENSG00000120662
TEX12	11	112038095	112043282	ENSG00000150783
NT5C	17	73126320	73127890	ENSG00000125458
LTA	HSCHR6_MHC_COX	31527243	31529513	ENSG00000238130
SSH3	11	67070919	67080078	ENSG00000172830
SLC4A2	7	150754297	150773614	ENSG00000164889
TMEM67	8	94767072	94831462	ENSG00000164953
GCM1	6	52991762	53013627	ENSG00000137270
AC012123.1	18	30349758	30354376	ENSG00000228835
NAV3	12	78224685	78606790	ENSG00000067798
ZNF266	19	9523272	9546254	ENSG00000174652
KRT40	HSCHR17_4_CTG4	39134095	39143514	ENSG00000262845
MARCH8	10	45950035	46090354	ENSG00000165406
AP002884.3	11	112041253	112071394	ENSG00000272790
AP2B1	17	33905065	34053436	ENSG00000006125
EPHB6	7	142552792	142568847	ENSG00000106123
C3orf30	3	118864997	118878889	ENSG00000163424
ZBTB12	HSCHR6_MHC_COX	31854934	31857319	ENSG00000237900
KRTAP3-3	HSCHR17_4_CTG4	39149809	39150512	ENSG00000263101
OR6C1	12	55714346	55715408	ENSG00000205330
C15orf61	15	67813406	67819628	ENSG00000189227
LIMK2	22	31608225	31676066	ENSG00000182541
KRTAP3-2	HSCHR17_4_CTG4	39155572	39156273	ENSG00000263296
KRTAP3-1	HSCHR17_4_CTG4	39164900	39175703	ENSG00000262068
TCF15	20	584441	591042	ENSG00000125878
AL662834.1	HSCHR6_MHC_COX	31866341	31866586	ENSG00000257320
CIRH1A	16	69165194	69265033	ENSG00000141076
SPSB3	16	1826713	1843701	ENSG00000162032
KRTAP1-5	HSCHR17_4_CTG4	39182405	39183581	ENSG00000261862
AHI1	6	135604670	135818914	ENSG00000135541
KRTAP1-4	HSCHR17_4_CTG4	39186076	39186483	ENSG00000263242
C19orf68	19	48673949	48700877	ENSG00000185453
MUC2	11	1074875	1104419	ENSG00000198788
KRTAP1-3	HSCHR17_4_CTG4	39190263	39191234	ENSG00000262347
KLHL34	X	21673609	21676448	ENSG00000185915
KRTAP1-1	HSCHR17_4_CTG4	39196936	39197838	ENSG00000262808
FAM3B	21	42676139	42729358	ENSG00000183844
SRXN1	20	627259	634014	ENSG00000271303
ELOVL5	6	53132196	53213947	ENSG00000012660
OR6C3	12	55725485	55726420	ENSG00000205329
NME9	3	137980279	138048728	ENSG00000181322
KRTAP2-1	HSCHR17_4_CTG4	39202918	39203693	ENSG00000261852
HSD17B8	HSCHR6_MHC_DBB	33150329	33152518	ENSG00000225312
OR52L1	11	6007122	6008215	ENSG00000183313
WDR17	4	176986985	177103978	ENSG00000150627
GDPD3	16	30116131	30125177	ENSG00000102886
OR6C75	12	55758895	55759833	ENSG00000187857
XAGE1D	X	52528159	52533303	ENSG00000204376
SMPX	X	21724090	21776281	ENSG00000091482
KRTAP2-1	HSCHR17_4_CTG4	39210879	39211741	ENSG00000262731
OR56A4	11	6023216	6024424	ENSG00000183389
RP5-850E9.3	20	627270	656444	ENSG00000270299
KRTAP2-3	HSCHR17_4_CTG4	39215722	39216596	ENSG00000262862
OR6C65	12	55794214	55795289	ENSG00000205328
OR56A1	11	6047901	6048971	ENSG00000180934
BTBD9	6	38136227	38607924	ENSG00000183826
SCRT2	20	642240	656823	ENSG00000215397
OR6C76	12	55820038	55820976	ENSG00000185821
TIFA	4	113195698	113207059	ENSG00000145365
FAM134C	17	40731531	40762641	ENSG00000141699
ZNF114	19	48675575	48790865	ENSG00000178150
OR56B4	11	6128914	6130065	ENSG00000180919
IL37	2	113670548	113676459	ENSG00000125571
OR6C2	12	55845998	55846936	ENSG00000179695
OR56B3P	11	6149840	6150706	ENSG00000180913
OR6C70	12	55862984	55863922	ENSG00000184954
OR52B1P	11	6173006	6173818	ENSG00000180909
BCO2	11	112046190	112095422	ENSG00000197580
OR52B2	11	6190560	6191638	ENSG00000255307
CFB	HSCHR6_MHC_COX	31900979	31907413	ENSG00000239754
SLC52A3	20	740724	749131	ENSG00000101276
DACT2	6	168693510	168720434	ENSG00000164488
OR52W1	11	6220376	6221489	ENSG00000175485
LRRC8A	9	131644391	131680318	ENSG00000136802
OR6C68	12	55886147	55887100	ENSG00000205327
C11orf42	11	6226796	6232362	ENSG00000180878
MBTPS2	X	21857754	21903542	ENSG00000012174
OR6C4	12	55944983	55946028	ENSG00000179626
C1orf74	1	209955661	209957904	ENSG00000162757
UBE2D4	7	43966037	43995735	ENSG00000078967
RAPGEF6	5	130759614	130970929	ENSG00000158987
TMEM214	2	27255778	27264563	ENSG00000119777
CCDC178	18	30517366	31021065	ENSG00000166960
AC007952.5	17	18996287	19000150	ENSG00000228157
DNAJA1	9	33025209	33039905	ENSG00000086061
GCN1L1	12	120565007	120632513	ENSG00000089154
PPRC1	10	103892787	103910082	ENSG00000148840
TTC12	HG306_PATCH	113185251	113254266	ENSG00000262377
RPP30	10	92631473	92668312	ENSG00000148688
PPP1R18	HSCHR6_MHC_DBB	30634431	30645937	ENSG00000234000
IRF6	1	209959036	209979465	ENSG00000117595
PNKD	2	219135115	219211516	ENSG00000127838
MAP2K5	15	67835047	68099461	ENSG00000137764
EML1	14	100204030	100408397	ENSG00000066629
